3,3,-32,-49,-44,-40
3,3,-34,-45,-45,-41
3,3,-33,-43,-45,-42
3,3,-38,-43,-42,-47
4,3,-35,-48,-41,-50
4,3,-37,-54,-40,-44
4,3,-43,-44,-47,-47
5,3,-35,-51,-41,-42
5,3,-36,-35,-40,-32
5,3,-42,-32,-33,-43
6,3,-37,-35,-28,-45
6,3,-40,-35,-28,-45
6,3,-41,-51,-26,-40
1,2,-21,-48,-51,-41
1,2,-22,-44,-36,-43
1,2,-26,-46,-41,-30
2,2,-28,-40,-36,-42
2,2,-38,-38,-37,-45
2,2,-23,-46,-44,-40
3,2,-25,-39,-42,-42
3,2,-38,-39,-39,-40
3,2,-26,-48,-50,-40
